code,Year,mort,malaria,gdp_pc,pov,edu,water,san
COG,2016,51.0,213.486326121727,2093.10728558843,40.9,71.9914169311523,44.7696324671102,19.5480531851066
COG,2017,49.3,232.528038491512,2211.63309874797,40.9,71.9914169311523,45.3548124526646,20.1728786215665
COG,2018,47.8,243.846513787198,2694.43413191427,40.9,71.9914169311523,45.5356397165062,20.2685712894315
COG,2019,52.4,236.969353943188,2488.42466724916,40.9,71.9914169311523,45.7164653525532,20.3642631107744
COG,2020,44.7,230.550137544031,1993.586671931,40.9,71.9914169311523,45.8968960933344,20.459745939771
COG,2021,43.2,222.15594555405,2516.16255145432,40.9,71.9914169311523,46.0765362516652,20.5548102087559
COG,2022,41.6,212.340195604198,2620.83804267402,40.9,71.9914169311523,46.0765362516652,20.5548102087559
COG,2023,41.6,212.340195604198,2477.97845544866,40.9,71.9914169311523,46.0765362516652,20.5548102087559
COM,2003,89.6,62.5436304000842,959.787894504834,40.9,71.9914169311523,46.0765362516652,31.6201289990803
COM,2004,87.1,61.3107713273934,1091.27216412426,40.9,71.9914169311523,46.0765362516652,32.1413169353801
COM,2005,84.8,60.0928320873047,1103.20658498402,40.9,71.9914169311523,46.0765362516652,32.6181080742434
COM,2006,82.3,58.8878341144912,1154.90422349749,40.9,71.9914169311523,46.0765362516652,33.0502370446673
COM,2007,79.9,57.693398757333,1289.73631056361,40.9,71.9914169311523,46.0765362516652,33.4374468041965
COM,2008,77.4,56.5030899010278,1455.02768595586,40.9,71.9914169311523,46.0765362516652,33.7793067711292
COM,2009,75.0,55.3220035082094,1410.30516959473,40.9,71.9914169311523,46.0765362516652,34.0757324816563
COM,2010,72.7,55.6961330683024,1386.5742428453,40.9,71.9914169311523,46.0765362516652,34.3266154418974
COM,2011,70.3,37.0945765448736,1531.43789372951,40.9,71.9914169311523,46.0765362516652,34.5313813628435
COM,2012,68.1,72.8066344023034,1490.31511351281,40.9,71.9914169311523,46.0765362516652,34.6899269606426
COM,2013,65.8,76.0030483576473,1603.32797107303,42.4,71.9914169311523,46.0765362516652,34.802124546897
COM,2014,63.6,3.08279178071457,1615.71723662012,42.4,24.4256782531738,46.0765362516652,34.8674297281274
COM,2015,61.4,2.5800585032374,1329.37048235986,42.4,24.4256782531738,46.0765362516652,35.8152661023519
COM,2016,59.1,1.96587656385682,1365.48403444497,42.4,24.4256782531738,46.0765362516652,35.8348906522207
COM,2017,57.0,5.11511637677506,1423.9248027797,42.4,24.4256782531738,46.0765362516652,35.8566241481776
COM,2018,55.0,19.5616974081331,1540.71132257526,42.4,24.4256782531738,46.0765362516652,35.8804627544981
COM,2019,53.2,22.2494456286205,1519.26386436068,42.4,24.4256782531738,46.0765362516652,35.9066757549833
COM,2020,51.5,5.63903712138691,1527.16991011916,42.4,24.4256782531738,46.0765362516652,35.9066757549833
COM,2021,49.8,12.8245854252244,1584.12450153608,42.4,37.6526031494141,46.0765362516652,35.9066757549833
COM,2022,48.2,24.7079856687708,1489.49566257969,42.4,47.029109954834,46.0765362516652,35.9066757549833
COM,2023,48.2,24.7079856687708,1590.31237688317,42.4,47.029109954834,46.0765362516652,35.9066757549833
CPV,2003,27.9,0.544771396297157,1717.97565369655,42.4,47.029109954834,46.0765362516652,43.8664098956885
CPV,2004,27.3,0.355700294836022,1929.49081468781,42.4,47.029109954834,46.0765362516652,46.1784732946656
CPV,2005,27.1,0.53069028758731,2004.14680417563,42.4,47.029109954834,46.0765362516652,48.4726015407377
CPV,2006,27.2,0.61676522060921,2256.99666191075,42.4,47.029109954834,46.0765362516652,50.7498012152059
CPV,2007,27.1,0.137163758286977,3324.57675212498,45.4,47.029109954834,46.0765362516652,53.0093492318719
CPV,2008,26.9,0.263778667088713,3908.64885822576,45.4,47.029109954834,46.0765362516652,55.2522001426227
CPV,2009,26.3,0.4848394435535,3659.72046361628,45.4,47.029109954834,46.0765362516652,57.4769273640947
CPV,2010,25.4,0.346825074714976,3579.46006137809,45.4,47.029109954834,46.0765362516652,59.6818525468582
CPV,2011,24.2,0.0510371477525427,4002.01386888785,45.4,47.029109954834,46.0765362516652,61.8006551686033
CPV,2012,22.8,0.0072044033313161,3736.81517011087,45.4,47.029109954834,46.0765362516652,63.9530692607862
CPV,2013,21.3,0.156713015728288,3960.97596791345,45.4,47.029109954834,46.0765362516652,66.0992441827563
CPV,2014,19.8,0.183125673515097,3985.60706548134,45.4,47.029109954834,46.0765362516652,68.2388839996908
CPV,2015,18.3,0.0487590813789068,3415.06266730931,35.2,51.9199981689453,46.0765362516652,70.3717075171588
CPV,2016,17.0,0.33750740449918,3608.96606551232,35.2,51.9199981689453,46.0765362516652,72.4969280062987
CPV,2017,15.9,2.87974511192201,3893.09572292025,35.2,51.9199981689453,46.0765362516652,74.6142564437254
CPV,2018,14.9,0.0134669252316311,4294.96510456428,35.2,51.9199981689453,46.0765362516652,76.7237252974541
CPV,2019,14.1,0.0,4380.7811916403,35.2,51.9199981689453,46.0765362516652,78.8249564795012
CPV,2020,13.4,0.0,3539.22662027109,35.2,51.9199981689453,46.0765362516652,80.9181458305802
CPV,2021,12.8,0.0,3971.4440744985,35.2,51.9199981689453,46.0765362516652,83.0030900897812
CPV,2022,12.3,0.0,4323.31362665974,35.2,51.9199981689453,46.0765362516652,83.0453032676674
CPV,2023,12.3,0.0,4850.98415849643,35.2,51.9199981689453,46.0765362516652,83.0453032676674
DJI,2003,92.8,3.1104121916252,764.634465224597,35.2,51.9199981689453,46.0765362516652,47.1158673678357
DJI,2004,90.4,3.11056941832841,806.261652944964,35.2,51.9199981689453,46.0765362516652,47.1372280107641
DJI,2005,88.0,3.11036499443087,844.4483573908,35.2,51.9199981689453,46.0765362516652,48.4452790170061
DJI,2006,85.6,3.11111530964729,898.464628136774,35.2,51.9199981689453,46.0765362516652,49.7498541308704
DJI,2007,83.1,3.11022815018487,969.573220191902,35.2,51.9199981689453,46.0765362516652,51.0504745031168
DJI,2008,80.6,3.11134538501389,1119.15233346969,35.2,51.9199981689453,46.0765362516652,52.3471301664621
DJI,2009,78.3,3.97481923895382,1150.9375857489,35.2,51.9199981689453,46.0765362516652,53.6393075112832
DJI,2010,75.9,1.46520146520147,1213.23352553429,35.2,51.9199981689453,46.0765362516652,54.9325895806101
DJI,2011,73.7,3.11017861108106,1306.34552844977,35.2,51.9199981689453,46.0765362516652,56.2271822953844
DJI,2012,71.5,3.11047640872722,1400.19357858954,35.2,51.9199981689453,46.0765362516652,57.5227688121713
DJI,2013,69.4,2.31085056865586,2074.29668941495,35.2,51.9199981689453,46.0765362516652,58.8200628177634
DJI,2014,67.3,12.725569104869,2208.67810285113,35.2,51.9199981689453,46.0765362516652,60.1181814104924
DJI,2015,65.2,12.5534545522009,2376.12554719873,35.2,51.9199981689453,46.0765362516652,61.4189057021902
DJI,2016,63.2,18.0123357524405,2510.4300076241,35.2,51.9199981689453,46.0765362516652,62.7207944875462
DJI,2017,61.0,18.9849645746458,2618.95521147369,21.1,39.2820701599121,46.0765362516652,64.0245443188833
DJI,2018,59.1,31.3377807881556,2718.0853229414,21.1,39.2820701599121,46.0765362516652,65.3303073707524
DJI,2019,57.3,61.3377799354117,2837.17103336917,21.1,39.2820701599121,46.0765362516652,66.638239753157
DJI,2020,55.4,89.947879524763,2881.99924450145,21.1,39.2820701599121,46.0765362516652,66.7226376355667
DJI,2021,53.7,71.0620713611988,3019.69343880209,21.1,39.2820701599121,46.0765362516652,66.8116305230144
DJI,2022,51.9,48.359042812648,3231.30015326477,21.1,39.2820701599121,46.0765362516652,66.9052134536498
DJI,2023,51.9,48.359042812648,3554.83918868372,21.1,39.2820701599121,46.0765362516652,66.9052134536498
ERI,2003,74.0,18.6516117118102,348.950327077742,21.1,39.2820701599121,46.0765362516652,9.32208585596108
ERI,2004,70.7,5.46226394609032,426.840947887032,21.1,39.2820701599121,46.0765362516652,9.64744725375952
ERI,2005,67.7,9.77493632872037,412.753079199423,21.1,39.2820701599121,46.0765362516652,9.96153547102589
ERI,2006,64.8,5.70745458566789,447.997404727201,21.1,39.2820701599121,46.0765362516652,10.2644175947139
